"","groupSize","numberOfGroups","CoverageProb","Method"
"1",5,5,0.8772,"parametric"
"2",10,5,0.8606,"parametric"
"3",20,5,0.8572,"parametric"
"4",50,5,0.8208,"parametric"
"5",5,10,0.9196,"parametric"
"6",10,10,0.911,"parametric"
"7",20,10,0.8868,"parametric"
"8",50,10,0.8404,"parametric"
"9",5,20,0.9538,"parametric"
"10",10,20,0.95,"parametric"
"11",20,20,0.9226,"parametric"
"12",50,20,0.879,"parametric"
"13",5,50,0.9876,"parametric"
"14",10,50,0.988,"parametric"
"15",20,50,0.9758,"parametric"
"16",50,50,0.9238,"parametric"
"17",5,5,0.7046,"bootstrap"
"18",10,5,0.6768,"bootstrap"
"19",20,5,0.6848,"bootstrap"
"20",50,5,0.6788,"bootstrap"
"21",5,10,0.715,"bootstrap"
"22",10,10,0.7164,"bootstrap"
"23",20,10,0.7278,"bootstrap"
"24",50,10,0.7198,"bootstrap"
"25",5,20,0.7402,"bootstrap"
"26",10,20,0.7468,"bootstrap"
"27",20,20,0.745,"bootstrap"
"28",50,20,0.756,"bootstrap"
"29",5,50,0.7566,"bootstrap"
"30",10,50,0.7576,"bootstrap"
"31",20,50,0.7638,"bootstrap"
"32",50,50,0.7498,"bootstrap"
