"","groupSize","numberOfGroups","Method","IntWidth"
"1",5,5,"parametric",1.83456497516798
"2",10,5,"parametric",1.48718905598971
"3",20,5,"parametric",1.29647997363286
"4",50,5,"parametric",1.15645445269541
"5",5,10,"parametric",1.54447552060724
"6",10,10,"parametric",1.21712401513562
"7",20,10,"parametric",1.02778062988603
"8",50,10,"parametric",0.884852735662549
"9",5,20,"parametric",1.32746956949207
"10",10,20,"parametric",1.03545247699068
"11",20,20,"parametric",0.836584662620504
"12",50,20,"parametric",0.686358790958399
"13",5,50,"parametric",1.18831042875583
"14",10,50,"parametric",0.906416120361668
"15",20,50,"parametric",0.693739100087583
"16",50,50,"parametric",0.519169078032675
"17",5,5,"bootstrap",1.22693821366555
"18",10,5,"bootstrap",1.06302426987313
"19",20,5,"bootstrap",0.976472123871109
"20",50,5,"bootstrap",0.926089610548443
"21",5,10,"bootstrap",0.920523763335697
"22",10,10,"bootstrap",0.817901472731063
"23",20,10,"bootstrap",0.759412998725935
"24",50,10,"bootstrap",0.727681491645114
"25",5,20,"bootstrap",0.669993723965895
"26",10,20,"bootstrap",0.600943267201249
"27",20,20,"bootstrap",0.563503294145105
"28",50,20,"bootstrap",0.541249346176134
"29",5,50,"bootstrap",0.430570494789358
"30",10,50,"bootstrap",0.39012859541369
"31",20,50,"bootstrap",0.366918507119712
"32",50,50,"bootstrap",0.350790103845012
