"","groupSize","numberOfGroups","CoverageProb","Method"
"1",5,5,0.762,"parametric"
"2",10,5,0.8,"parametric"
"3",20,5,0.792,"parametric"
"4",50,5,0.826,"parametric"
"5",5,10,0.78,"parametric"
"6",10,10,0.818,"parametric"
"7",20,10,0.774,"parametric"
"8",50,10,0.8,"parametric"
"9",5,20,0.756,"parametric"
"10",10,20,0.796,"parametric"
"11",20,20,0.838,"parametric"
"12",50,20,0.792,"parametric"
"13",5,50,0.786,"parametric"
"14",10,50,0.766,"parametric"
"15",20,50,0.712,"parametric"
"16",50,50,0.826,"parametric"
"17",5,5,0.724,"bootstrap"
"18",10,5,0.77,"bootstrap"
"19",20,5,0.742,"bootstrap"
"20",50,5,0.8,"bootstrap"
"21",5,10,0.758,"bootstrap"
"22",10,10,0.758,"bootstrap"
"23",20,10,0.772,"bootstrap"
"24",50,10,0.754,"bootstrap"
"25",5,20,0.744,"bootstrap"
"26",10,20,0.78,"bootstrap"
"27",20,20,0.812,"bootstrap"
"28",50,20,0.754,"bootstrap"
"29",5,50,0.748,"bootstrap"
"30",10,50,0.728,"bootstrap"
"31",20,50,0.71,"bootstrap"
"32",50,50,0.808,"bootstrap"
