"","groupSize","numberOfGroups","Method","IntWidth"
"1",5,5,"parametric",4.03402737288512
"2",10,5,"parametric",3.77393036284602
"3",20,5,"parametric",3.70528604834643
"4",50,5,"parametric",3.6476705250459
"5",5,10,"parametric",3.8141578038235
"6",10,10,"parametric",3.75228052395661
"7",20,10,"parametric",3.70817761521364
"8",50,10,"parametric",3.63025793432511
"9",5,20,"parametric",3.78335033019698
"10",10,20,"parametric",3.70912137019371
"11",20,20,"parametric",3.65721964895479
"12",50,20,"parametric",3.63360063848487
"13",5,50,"parametric",3.73989988295949
"14",10,50,"parametric",3.71591101867508
"15",20,50,"parametric",3.66093948379852
"16",50,50,"parametric",3.63041262982565
"17",5,5,"bootstrap",3.4118071940725
"18",10,5,"bootstrap",3.40533396542692
"19",20,5,"bootstrap",3.43671511614156
"20",50,5,"bootstrap",3.46437245966631
"21",5,10,"bootstrap",3.37560227525707
"22",10,10,"bootstrap",3.43665642749277
"23",20,10,"bootstrap",3.48847414960598
"24",50,10,"bootstrap",3.47590338437654
"25",5,20,"bootstrap",3.40014886053936
"26",10,20,"bootstrap",3.45526260771745
"27",20,20,"bootstrap",3.45138149597946
"28",50,20,"bootstrap",3.46599460889164
"29",5,50,"bootstrap",3.4175200781927
"30",10,50,"bootstrap",3.48411153349726
"31",20,50,"bootstrap",3.4652814678328
"32",50,50,"bootstrap",3.45093770652222
