"","groupSize","numberOfGroups","Method","IntWidth"
"1",5,5,"parametric",1.57421224699928
"2",10,5,"parametric",1.12349072009369
"3",20,5,"parametric",0.780746081014324
"4",50,5,"parametric",0.500354176846455
"5",5,10,"parametric",1.33880980524088
"6",10,10,"parametric",0.97092207167965
"7",20,10,"parametric",0.691579210640382
"8",50,10,"parametric",0.427492172765337
"9",5,20,"parametric",1.22082301134529
"10",10,20,"parametric",0.858588896750423
"11",20,20,"parametric",0.611464402076565
"12",50,20,"parametric",0.393842982687218
"13",5,50,"parametric",1.14682829582058
"14",10,50,"parametric",0.835429110206699
"15",20,50,"parametric",0.604507302328261
"16",50,50,"parametric",0.37333403921139
"17",5,5,"bootstrap",1.45152313132831
"18",10,5,"bootstrap",1.05795091429788
"19",20,5,"bootstrap",0.743438301692307
"20",50,5,"bootstrap",0.482311504034063
"21",5,10,"bootstrap",1.26040483431424
"22",10,10,"bootstrap",0.909920354854681
"23",20,10,"bootstrap",0.673063085510913
"24",50,10,"bootstrap",0.403200807211754
"25",5,20,"bootstrap",1.1432820579383
"26",10,20,"bootstrap",0.840847156478426
"27",20,20,"bootstrap",0.574550163073975
"28",50,20,"bootstrap",0.378924426745835
"29",5,50,"bootstrap",1.08436296835696
"30",10,50,"bootstrap",0.787768043140991
"31",20,50,"bootstrap",0.575995990303143
"32",50,50,"bootstrap",0.356281536950961
