total_time,level,sample_size,cov_prob,cov_prob_se,int_width,int_width_se
1293.7575499999998,0.95,20,0.9225,0.002673965222100112,99.5669,0.19961432069544177
1293.7575499999998,0.95,30,0.9365,0.0024387229725767743,102.788,0.16677585862079042
1293.7575499999998,0.95,50,0.9441,0.002297400009724138,104.9926,0.1292216868348144
1293.7575499999998,0.95,100,0.9455,0.0022701300291029375,106.6165,0.09334695571047855
1293.7575499999998,0.95,150,0.9505,0.002169203896491627,107.3229,0.07949588365790933
1293.7575499999998,0.95,200,0.953,0.0021164942605156004,107.4567,0.07070949366421334
1293.7575499999998,0.95,250,0.9503,0.0021733530192618576,107.7405,0.06428646241569833
1293.7575499999998,0.95,500,0.9528,0.002120770088099287,108.1632,0.05014905850369357
1293.7575499999998,0.95,1e3,0.956,0.0020510535541687367,108.1898,0.040757130791691375
1293.7575499999998,0.95,2e3,0.9495,0.0021898526309901646,108.2864,0.03549540105914617
